defined_class	food	Xref
MAO:0040001	FOODON:03411564	
MAO:0040002	FOODON:03411297	
MAO:0040003	FOODON:03411301	
MAO:0040004	FOODON:03411261	
MAO:0040005	FOODON:03412345	
MAO:0040006	FOODON:03412974	
MAO:0040007	FOODON:03411347	
MAO:0040008	FOODON:03412846	
MAO:0040009	FOODON:03411624	https://en.wikipedia.org/wiki/Amphibian
MAO:0040010	FOODON:03411134	
MAO:0040011	FOODON:03411021	
MAO:0040012	FOODON:03411220	
MAO:0040013	FOODON:03411563	
MAO:0040014	FOODON:03411625	
MAO:0040015	FOODON:03411140	
MAO:0040016	FOODON:03411047	
MAO:0040017	FOODON:03413357	
MAO:0040018	FOODON:03413359	
MAO:0040019	FOODON:03413358	
MAO:0040020	FOODON:03414168	
MAO:0040021	FOODON:03411013	
MAO:0040022	FOODON:03411179	
MAO:0040023	FOODON:03411579	
MAO:0040024	FOODON:03411252	
