defined_class	defined_class_name	cell	cell_label	created_by	date	defined_class_definition	comment	xref	syns
MAXO:0010510		CL:0000738	leukocytes	https://orcid.org/0000-0001-7941-2961	2020-05-04T20:39:14Z				CSF white blood cell count 
MAXO:0010511		CL:0000094 	granulocyte	https://orcid.org/0000-0001-7941-2961	2020-05-04T20:39:14Z				CSF polymorphonuclear leukocyte count|CSF granular leukocyte count
MAXO:0010512		CL_0000542	lymphocyte	https://orcid.org/0000-0001-7941-2961	2020-05-04T20:39:14Z				
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
